title,genres,description,rating
The Matrix,Action|Sci-Fi,"A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.",8.7
Inception,Action|Adventure|Sci-Fi,"A thief who enters the dreams of others to steal secrets from their subconscious is given the inverse task of planting an idea into the mind of a CEO.",8.8
Interstellar,Adventure|Drama|Sci-Fi,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",8.6
The Dark Knight,Action|Crime|Drama,"When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham.",9.0
The Prestige,Drama|Mystery|Sci-Fi,"A magician is forced to confront his own moral boundaries when he becomes obsessed with performing the ultimate illusion.",8.5
Titanic,Drama|Romance,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",7.8
The Shawshank Redemption,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",9.3
Forrest Gump,Drama|Romance,"The presidencies of Kennedy and Johnson, the events of Vietnam, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75.",8.8
Pulp Fiction,Crime|Drama,"The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8.9
Fight Club,Drama,"An insomniac office worker and a soap salesman build a global organization to help vent male aggression.",8.8
The Godfather,Crime|Drama,"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.",9.2
The Lord of the Rings: The Fellowship of the Ring,Action|Adventure|Fantasy,"A hobbit and eight companions set out on a quest to destroy a powerful ring and defeat the Dark Lord Sauron.",8.8
Avatar,Action|Adventure|Fantasy,"A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.",7.8
Gladiator,Action|Adventure|Drama,"A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.",8.5
The Lion King,Animation|Adventure|Drama,"Lion cub and future king Simba searches for his identity. His eagerness to please others and penchant for testing his boundaries sometimes gets him into trouble.",8.5
The Matrix Reloaded,Action|Sci-Fi,"Neo and the rebel leaders estimate that they have 72 hours until 250,000 probes discover Zion and destroy it. The Matrix Reloaded is the second film in the Matrix trilogy.",7.2
The Silence of the Lambs,Crime|Drama|Thriller,"A young FBI cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.",8.6
